"","CELL1_TREATMENT1","CELL2_TREATMENT1"
"ENSG00000171163",0.999008209499928,0.0398372097027397
"ENSG00000122435",0.999008209499928,0.326176230976582
"ENSG00000131795",0.999008209499928,0.55259812622321
"ENSG00000122484",0.999008209499928,0.043351159927245
"ENSG00000162601",0.999008209499928,0.56627751935052
"ENSG00000116954",0.999008209499928,0.30137667606939
"ENSG00000215788",0.999008209499928,0.386483898919155
"ENSG00000143507",0.999008209499928,0.0315098575352212
"ENSG00000137941",0.999008209499928,0.939783884299765
"ENSG00000121940",0.999008209499928,0.972134090997356
"ENSG00000126705",0.999008209499928,0.207466228706756
"ENSG00000122417",0.999008209499928,0.933080551573544
"ENSG00000138031",0.999008209499928,0.289348011396003
"ENSG00000142684",0.999008209499928,0.420585686541946
"ENSG00000204138",0.999008209499928,0.0403898458658547
"ENSG00000164010",0.999008209499928,0.137927525258541
"ENSG00000197982",0.170711739886823,0.806820937319677
"ENSG00000162775",0.999008209499928,0.0636295040016744
"ENSG00000143545",0.999008209499928,0.30137667606939
"ENSG00000198715",0.999008209499928,0.731761463365591
"ENSG00000117394",0.999008209499928,0.0465659626358203
"ENSG00000237973",0.999008209499928,0.926793545754062
"ENSG00000123091",0.999008209499928,0.00238525154629989
"ENSG00000158773",0.999008209499928,0.0313864335829446
"ENSG00000163545",0.999008209499928,0.00569796146551805
"ENSG00000155380",0.999008209499928,0.32196585932703
"ENSG00000273131",0.999008209499928,0.688464818591842
"ENSG00000270172",0.999008209499928,0.0665416353894869
"ENSG00000162714",0.999008209499928,0.250685553794143
"ENSG00000031698",0.999008209499928,0.453616860906985
"ENSG00000134644",0.999008209499928,0.658436927261523
"ENSG00000143801",0.999008209499928,0.10870027513802
"ENSG00000116731",0.999008209499928,0.0265233271878417
"ENSG00000143850",0.999008209499928,0.226867504335568
"ENSG00000162458",0.999008209499928,0.294861404595317
"ENSG00000060642",0.999008209499928,0.569702147988294
"ENSG00000116704",0.999008209499928,0.455718047981884
"ENSG00000117479",0.999008209499928,0.82294312917422
"ENSG00000117682",0.999008209499928,0.0188192168518848
"ENSG00000011007",0.999008209499928,0.0124704858510432
"ENSG00000077157",0.999008209499928,0.88866098463809
"ENSG00000023572",0.999008209499928,0.048931469504021
"ENSG00000143797",0.999008209499928,0.205364963335299
"ENSG00000143149",0.999008209499928,0.00443320544372341
"ENSG00000162819",0.999008209499928,0.140445484764307
"ENSG00000065526",0.999008209499928,0.0537686244058788
