"","CELL1_TREATMENT1","CELL2_TREATMENT1"
"ENSG00000135845",0.752765160934672,0.13132432109308
"ENSG00000117632",0.67191731963034,0.0735362580970126
"ENSG00000143393",0.970796644744827,0.908355554514547
"ENSG00000198815",0.587058383313373,0.0162997698090914
"ENSG00000132879",0.676230299351811,0.608709586195578
"ENSG00000176444",0.564223421366637,0.00390466046913216
"ENSG00000160714",0.790960970339647,0.620461274756927
"ENSG00000121848",0.49081400346766,0.0301097376662327
"ENSG00000090273",0.91533164017302,4.46753268906713e-05
"ENSG00000142655",0.72604738219972,0.331787475142934
"ENSG00000159176",0.747719572587887,0.351210415844527
"ENSG00000152061",0.830194570423611,0.221364912517952
"ENSG00000130770",0.497924804944516,0.160989852532029
"ENSG00000054282",0.688712049969898,0.59492434134509
"ENSG00000158161",0.988631540201236,0.201162706401714
"ENSG00000143368",0.719806773150301,0.901854642985591
"ENSG00000142794",0.878807117780628,0.59941992872207
"ENSG00000143819",0.977989832188221,0.0124793899482011
"ENSG00000047410",0.870118004800845,0.224871518772727
"ENSG00000183291",0.776641273589967,2.10992823972357e-09
"ENSG00000171163",0.760920164372078,0.00828613961816985
"ENSG00000122435",0.845761130854981,0.186246627887628
"ENSG00000131795",0.486564103001286,0.400842888298514
"ENSG00000122484",0.91902962944046,0.00986253565588231
"ENSG00000162601",0.97142779206855,0.416213976722632
"ENSG00000116954",0.787634985766501,0.16601265234681
"ENSG00000215788",0.788531415776316,0.240006501228795
"ENSG00000143507",0.766559072023795,0.00604558956580646
"ENSG00000137941",0.971017051796943,0.891854906200477
"ENSG00000121940",0.667207295343871,0.956579945541398
"ENSG00000126705",0.771840517357286,0.0997912560079497
"ENSG00000122417",0.530890787588368,0.882694201788572
"ENSG00000138031",0.881217081369499,0.156537274165237
"ENSG00000142684",0.4137897952085,0.270436596446471
"ENSG00000204138",0.989850848109426,0.00844147778596362
"ENSG00000164010",0.653915708303668,0.0565502853560017
"ENSG00000197982",0.00051213521966047,0.705968320154717
"ENSG00000162775",0.61896222057583,0.0175617431044621
"ENSG00000143545",0.79474361148172,0.166359925190303
"ENSG00000198715",0.817331722948964,0.616874913617193
"ENSG00000117394",0.835137243244706,0.0111758310325969
"ENSG00000237973",0.790611302499594,0.872112726554573
"ENSG00000123091",0.859868013128811,0.000155041350509493
"ENSG00000158773",0.733984274318553,0.00596342238075948
"ENSG00000163545",0.780372845953687,0.000564098185086287
"ENSG00000155380",0.567785575228728,0.181390440903263
"ENSG00000273131",0.62097274823458,0.551845136075078
"ENSG00000270172",0.782979903541885,0.0187703189052647
"ENSG00000162714",0.819680427722125,0.131359230188131
"ENSG00000031698",0.726193298675356,0.301655212503145
"ENSG00000134644",0.506722987949655,0.519506735609342
"ENSG00000143801",0.868200249437609,0.0403278020762053
"ENSG00000116731",0.840915459929781,0.00466810558506014
"ENSG00000143850",0.642213950572465,0.112753149654777
"ENSG00000162458",0.9551453064655,0.160404604099853
"ENSG00000060642",0.392441622424996,0.420440185215361
"ENSG00000116704",0.0681344438792802,0.303963938003917
"ENSG00000117479",0.610744813914517,0.727995398046672
"ENSG00000117682",0.65297074348156,0.00291697861204215
"ENSG00000011007",0.550881106560505,0.00174366123752117
"ENSG00000077157",0.287186319455262,0.81411635418078
"ENSG00000023572",0.563407957785328,0.0120437302157306
"ENSG00000143797",0.127896056571044,0.0981644524742728
"ENSG00000143149",0.932556899971284,0.000375193500027705
"ENSG00000162819",0.182621354321959,0.0578635397228944
"ENSG00000065526",0.972367468661188,0.0139798423455285
"ENSG00000127481",0.738727624760868,0.0539400649133491
"ENSG00000135847",0.972658290966084,0.794757325068414
"ENSG00000121486",0.260668149738836,0.931458012853914
"ENSG00000116455",0.730483120741265,0.199934070252724
"ENSG00000223380",0.615144729036334,0.0191875068358447
"ENSG00000217801",0.696757202650274,0.0816187053598308
